key;en-US
label_sorting_layer;Sorting Layer
tooltip_sorting_layer;
label_sprite_import_mode;Sprite Import Mode
tooltip_sprite_import_mode;"Texture importer modes for Sprite import.

None - Graphic is not a Sprite.

Single - Sprite is a single image section extracted automatically from the texture.

Multiple - Sprites are multiple image sections extracted from the texture.

Polygon - Sprite has it own mesh outline defined."
label_step_distance;Step Distance
tooltip_step_distance;Distance at which vertices will be generated along the paths. Lower values will result in a more dense tessellation.
label_svg_image_settings;SVG IMAGE SETTINGS
tooltip_svg_image_settings;
label_svg_importer_settings;SVG IMPORTER SETTINGS
tooltip_svg_importer_settings;
label_svg_type;Generated Asset Type
tooltip_svg_type;How the SVG file will be imported.
label_text_and_fonts;TEXT & FONTS
tooltip_text_and_fonts;
label_text_and_font_settings;
tooltip_text_and_font_settings;
label_text_component;Text Component
tooltip_text_component;A text component to be used when wrapping text from Figma. Currently 'Unity.UI.Text' and 'TextMeshPro' are supported.
label_textmeshpro_settings;TEXTMESHPRO SETTINGS
tooltip_textmeshpro_settings;
label_texture_compression;Texture Compression
tooltip_texture_compression;"Select the kind of compression you want for your texture.

Uncompressed - Texture will not be compressed.

Compressed - Texture will be compressed using a standard format depending on the platform (DXT, ASTC, ...).

CompressedHQ - Texture will be compressed using a high quality format depending on the platform and availability (BC7, ASTC4x4, ...).

CompressedLQ - Texture will be compressed using a low quality but high performance, high compression format depending on the platform and availability (2bpp PVRTC, ASTC8x8, ...)."
label_texture_importer_settings;TEXTURE IMPORTER SETTINGS
tooltip_texture_importer_settings;
label_texture_type;Texture Type
tooltip_texture_type;"Use the Texture Type property to select the type of Texture you want to create from the source image file.

The other properties in the Texture Import settings window change depending on the value you set."
label_ttf_path;TTF Fonts Path
tooltip_ttf_path;
label_ui_framework;UI Framework
tooltip_ui_framework;
label_ui_toolkit;
tooltip_ui_toolkit;
label_unity_comp;UNITY COMPONENTS
tooltip_unity_comp;
label_unity_image_settings;UNITY IMAGE SETTINGS
tooltip_unity_image_settings;
label_unity_text_settings;UNITY TEXT SETTINGS
tooltip_unity_text_settings;
label_uitk_linking_mode;UITK Linking Mode
tooltip_uitk_linking_mode;
label_uitk_output_path;UITK Output Path
tooltip_uitk_output_path;
label_use_i2localization;Use I2Localization
tooltip_use_i2localization;Whether to add 'I2Localize' script to 'Unity.UI.Text' or 'TextMeshPro' component.
label_visible_descender;Visible Descender
tooltip_visible_descender;Compute descender values from visible characters only. Used to adjust layout behavior when hiding and revealing characters dynamically.
label_viewport_options;Viewport Options
tooltip_viewport_options;Viewport options to use while importing the SVG document.
label_vertical_mapping;Vertical Mapping
tooltip_vertical_mapping;Vertical UV mapping when using a shader with a texture face option.
label_vertical_overflow;Vertical Overflow
tooltip_vertical_overflow;The method used to handle the situation where wrapped text is too tall to fit in the rectangle. The options are Truncate and Overflow.
label_without_changes;Without changes
tooltip_label_without_changes;
label_wrapping;Wrapping
tooltip_wrapping;Wraps text to the next line when reaching the edge of the container.
label_xml_parsing;
tooltip_xml_parsing;
label_procedural_ui_settings;SETTINGS FOR ANY PROCEDURAL IMAGE
tooltip_procedural_ui_settings;
label_pui_settings;PROCEDURAL UI IMAGE SETTINGS
tooltip_pui_settings;
label_mpuikit_settings;MPIMAGE SETTINGS
tooltip_mpuikit_settings;
label_sr_settings;SPRITE RENDERER SETTINGS
tooltip_sr_settings;
label_is_readable;Is Readable
tooltip_is_readable;"Whether Unity stores an additional copy of this texture's pixel data in CPU-addressable memory.

This is required for methods that read, write, and manipulate the pixel data on the CPU, such as Texture2D.GetPixels or ImageConversion.

EncodeToPNG. It is not required for methods that perform all their work on the GPU, such as Graphics.CopyTexture or Graphics.Blit."
label_next_order_step;Next Order Step
tooltip_next_order_step;
label_raw_import;Raw Import
tooltip_raw_import;When enabled, importing the full structure of your layout, without smart-combine multiple sprites into one sprite.
label_buttons_tab;BUTTONS
tooltip_buttons_tab;
label_ui_toolkit_tab;UI TOOLKIT
tooltip_ui_toolkit_tab;
label_nova_components;NOVA COMPONENTS
tooltip_nova_components;
label_fcu;Figma Converter for Unity
tooltip_fcu;
label_settings;Settings
tooltip_settings;
label_script_generator;SCRIPT GENERATOR
tooltip_script_generator;
label_enabled;Enabled
tooltip_enabled;
label_scripts_output_path;Scripts output path
tooltip_scripts_output_path;
label_select_folder;
tooltip_select_folder;
label_text_prefab_naming_mode;Text Prefab Naming Mode
tooltip_text_prefab_naming_mode;
label_humanized_color;Humanized Color String
tooltip_humanized_color;
label_hex_color;Humanized Color HEX
tooltip_hex_color;
label_log_component_drawer;
tooltip_log_component_drawer;
label_log_hash_generator_drawer;
tooltip_log_hash_generator_drawer;
label_override_tmp_letter_spacing;Override TMP Letter Spacing
tooltip_override_tmp_letter_spacing;
label_object_comparer;Object Comparer
tooltip_object_comparer;
label_fcu_is_null;"The script '{0}' is not attached to this object.
If this object is a prefab, to ensure the '{1}' function
works correctly after adding the object to the scene, 
you need to execute function '{2}' from the context menu.

More information about the Context Menu can be found in the Developer Manual."
tooltip_fcu_is_null;
label_more_about_layout_updating;You can learn more about this script in the dev manual, 'Layout updating' slide.
tooltip_more_about_layout_updating;
tooltip_open_fcu_window;
tooltip_change_window_mode;_
label_orthographic_mode;
tooltip_orthographic_mode;
label_extra_padding;Extra Padding
tooltip_extra_padding;Adds some padding between the characters and the edge of the text mesh. Can reduce graphical errors when displaying small text.
label_overflow;Overflow
tooltip_overflow;How to display text which goes past the edge of the container.
label_geometry_sorting;Geometry Sorting
tooltip_geometry_sorting;The order in which text geometry is sorted. Used to adjust the way overlapping characters are displayed.
label_shader;Shader
tooltip_shader;
label_farsi;Farsi
tooltip_farsi;
label_fix_tags;Fix Tags
tooltip_fix_tags;
label_user_name;The name of the user authorized in the current instance of the asset.
tooltip_user_id;The ID of the user authorized in the current instance of the asset.
label_asset_instance_id;
tooltip_asset_instance_id;The ID of this asset instance.
label_stable_version;This version of the asset is stable.
tooltip_stable_version;
label_open_diff_checker;Open difference checker website
tooltip_open_diff_checker;
label_go_name_length;GameObject Name Length
tooltip_go_name_length;
label_text_name_length;Text GameObject Name Length
tooltip_text_name_length;
label_go_layer;GameObject Layer
tooltip_go_layer;"Sets the value of the ""Layout"" parameter, which you can see in the top-right corner of the Inspector, for all the GameObjects being instantiated."
label_pivot_type;Pivot Type
tooltip_pivot_type;
label_components_to_import;COMPONENTS TO IMPORT
tooltip_components_to_import;Components that will be added to the scene or updated if they already exist on the scene.
label_components_with_count;COMPONENTS ({0}/{1})
tooltip_components_with_count;
tooltip_recent_projects;View recent projects.
tooltip_download_project;"Download Figma project from URL.
The current active import of the current canvas will be stopped."
label_sampling_point_size;Sampling Point Size
tooltip_sampling_point_size;The sampling point size.
label_enable_multi_atlas_support;Enable Multi Atlas Support
tooltip_enable_multi_atlas_support;
label_images_format;Images Format
tooltip_images_format;Format of images imported from Figma.
label_images_scale;Images Scale
tooltip_images_scale;The size of the images imported from Figma.
label_preserve_ratio_mode;Preserve Ratio Mode
tooltip_preserve_ratio_mode;If an object in Figma has the 'PreserveRatio' function enabled, the 'AspectRatioFitter' script will be added to it with your selected mode.
label_sprites_path;Sprites Path
tooltip_sprites_path;
label_shapes2d_settings;SHAPES 2D SETTINGS
tooltip_shapes2d_settings;
label_google_fonts_settings;GOOGLE FONTS SETTINGS
tooltip_google_fonts_settings;
label_google_fonts_api_key;Google Fonts Api Key
tooltip_google_fonts_api_key;In order for the asset to be able to automatically download missing fonts, you need to create your own '{0}', and enter it in '{0}' field.
label_get_google_api_key;Get
tooltip_get_google_api_key;
label_remove_from_scene;REMOVE FROM SCENE
tooltip_remove_from_scene;Components that will be removed from the scene.
label_token;Token
tooltip_token;The token is needed for the working of the asset, it is used to send api requests to Figma.
tooltip_recent_tokens;
tooltip_auth;Button for authorization in Figma.
label_tmp_path;TMP Fonts Path
tooltip_tmp_path;
label_no_recent_sessions;No recent sessions found.
tooltip_no_recent_sessions;
label_different_component_data;Component data has differences.
tooltip_different_component_data;
label_has_differences;{0}: has differences. '{1}' in Unity. '{2}' in Figma.
tooltip_has_differences;
label_new_components;
tooltip_new_components;Components that are missing on the scene but exist in Figma.
label_import_frames;
tooltip_import_frames;"Import selected frames from a downloaded or cached Figma project.
The current active import of the current canvas will be stopped."
label_open_settings_window;
tooltip_open_settings_window;Open settings window
label_select_fonts_folder;Choose a folder with your fonts
tooltip_select_fonts_folder;
label_select_prefabs_folder;
tooltip_select_prefabs_folder;
tooltip_product_version;The current version of the asset.
label_auth;Auth
label_component_detection_type;Component Detection Type
log_cant_find_font;Can't find font file at path: '{0}'
log_tm_font_already_exists;TextMeshPro font already exists for '{0}' font at path: {1}
log_reopen_font_asset_creator;If you often see this error, close 'Font Asset Creator' before running the convert function. 'Font Asset Creator' should open by itself.
log_converted_fonts;Converted {0} of {1} fonts.
label_select_sprites_folder;Select the folder you want to remove unused sprites from
label_inside_assets_folder;The object/folder you select must be inside the 'Assets' folder.
log_added_total;"Added: {0}
Total: {1}"
label_update_avaliable;Update avalibale: {0}
label_show_asset_in_inspector;Show asset in inspector
label_show_asset_in_window;Show asset in window
log_missing_fonts_list;Below is a list of fonts missing from the repository. You need to manually add them to the array of fonts in the '{0}' tab so that they will be available for the next import. Font list: {1}
log_fonts_in_project;Fonts in project: {0}
log_checking_fonts;Checking fonts...
log_start_downloading_fonts;Start downloading fonts...
log_instantiating_game_objects;Instantiating GameObjects: {0} of {1}
label_verify;Verify
fonts_settings;FONTS
label_import_components;IMPORT COMPONENTS
log_gameobject_not_selected_in_hierarchy;'{0}' not selected in hierarchy.
log_asset_not_imported;Asset '{0}' was not imported. You can find it in the Asset Store or Package Manager.
label_supported_from_unity_version;This feature is available in version Unity {0} and above.
log_project_too_big;"Your project exceeds the allowable size. Import stopped.
Project size: {0} MB.
Allowable size: {1} MB.
Please move the frames you want to import into a new project and try the import again."
tooltip_all_components;All components - those that exist on the scene and those that exist in Figma (without duplicates).
log_featutre_at_dev_stage;This feature ({0}) is not available and is under development.
log_img_component_compatibility;The image component in the asset settings is switched to '{0}' because this is the only value compatible with the '{1}' image format.
label_images_and_sprites_tab;IMAGES & SPRITES
tooltip_images_and_sprites_tab;
label_max_cord_deviation;Max Cord Deviation
tooltip_max_cord_deviation;Distance on the cord to a straight line between two points after which more tessellation will be generated.
label_max_tangent_angle;Max Tangent Angle
tooltip_max_tangent_angle;Max tangent angle (in degrees) after which more tessellation will be generated.
log_frames_finded;Finded {0} frames. Download them?
"log_frames_not_found;No frames found. If you are using Sections, place them inside a frame using the ""Frame selection"" function in Figma, and try the import again.";
log_current_canvas_childs_destroy;{0} childs destroyed.
tooltip_component_detection_type;
log_cant_get_profile_info;Can't get profile info: {0}
log_sprites_removed;{0} sprites removed.
log_cache_restored;{0} pages restored from cache.
tooltip_show_asset_in_inspector;
tooltip_show_asset_in_window;
tooltip_global_config;
log_loading_from_cache;Loading '{0}' project from cache…
log_no_components_in_gameobject;No components in '{0}'.
log_props_reset;{0} properties reset.
log_object_reset;'{0}' has been reset to a prefab state.
nan;
log_closed_after_script_reload;{0} closed after scripts reload.
log_corrent_project_url;Project URL is valid.
log_package_installed;UPM Package Installed: {0}
label_normal_color;Normal Color
tooltip_normal_color;
label_highlighted_color;Highlighted Color
tooltip_highlighted_color;
label_pressed_color;Pressed Color
tooltip_pressed_color;
label_selected_color;Selected Color
tooltip_selected_color;
label_disabled_color;Disabled Color
tooltip_disabled_color;
label_color_multiplier;Color Multiplier
tooltip_color_multiplier;
label_fade_duration;Fade Duration
tooltip_fade_duration;
label_go_name_max_length;GameObject Name Max Length
tooltip_go_name_max_length;
label_text_name_max_length;Text Name Max Length
tooltip_text_name_max_length;
log_import_failed_incompatible;Import failed because '{0}' is incompatible with '{1}'.\nPlease change the import settings.\n
log_import_failed_enable_required;Import failed because you need to enable '{0}' to use '{1}'.\nPlease change the import settings.\n
log_import_failed_unsupported;Import failed because you are attempting to use '{0}', which does not support '{1}'.\nPlease change the import settings.\n
label_loc_key_max_lenght;Loc Key Max Length
tooltip_loc_key_max_lenght;
label_loc_folder_path;Localization Folder Path
tooltip_loc_folder_path;
label_loc_file_name;Localization File Name
tooltip_loc_file_name;
